CHANNEL_KEY	SITE_KEY	COUNTRY_CODE	POSTCODE
8	FRE861	FR	66000
8	FRE862	FR	77420
8	FRE863	FR	69130
8	FRE864	FR	69200
8	FRE865	FR	13500
8	FRE866	FR	54180
8	FRE868	FR	78240
8	FRE869	FR	06110
8	FRE870	FR	30900
8	FRE873	FR	42100
8	FRE874	FR	13015
8	FRE875	FR	35065
8	FRE876	FR	29200
8	FRE877	FR	60000
8	FRE878	FR	76000
8	FRE879	FR	94000
8	FRE880	FR	59510
8	FRE881	FR	64200
8	FRE882	FR	20000
8	FRE883	FR	74110
8	FRE885	FR	78410
8	FRE886	FR	57070
8	FRE887	FR	33700
8	FRE888	FR	84400
8	FRE889	FR	33130
8	FRE890	FR	64230
8	FRE891	FR	14120
8	FRE892	FR	51000
8	FRE893	FR	76130
8	FRE894	FR	91160
8	FRE895	FR	95220
8	FRE896	FR	77410
8	FRE897	FR	91200
8	FRE898	FR	74100
8	FRE901	FR	91000
8	FRE904	FR	94400
8	FRE905	FR	92390
8	FRE907	FR	91000
8	FRE90B	FR	75011
8	FRE918	FR	91000
8	FRE919	FR	91000
8	FRE93X	FR	34000
8	FRE945	FR	91300
8	FRE974	FR	91080
8	FREA01	FR	80100
8	FREA02	FR	38490
8	FREA07	FR	20000
8	FREA11	FR	69550
8	FREA13	FR	59112
8	FREA16	FR	69210
8	FREA19	FR	57390
8	FREA20	FR	31840
8	FREA26	FR	02600
8	FREA27	FR	65200
8	FREA28	FR	42510
8	FREA29	FR	83150
8	FREA31	FR	04400
8	FREA32	FR	50270
8	FREA35	FR	27170
8	FREA36	FR	27140
8	FREA37	FR	83330
8	FREA39	FR	30127
8	FREA41	FR	29950
8	FREA43	FR	30160
8	FREA48	FR	33200
8	FREA50	FR	19110
8	FREA51	FR	59111
8	FREA54	FR	27310
8	FREA56	FR	92340
8	FREA58	FR	02220
8	FREA59	FR	11150
8	FREA61	FR	59123
8	FREA63	FR	27160
8	FREA66	FR	77170
8	FREA69	FR	43100
8	FREA74	FR	59180
8	FREA78	FR	83240
8	FREA79	FR	31220
8	FREA80	FR	34370
8	FREA81	FR	72330
8	FREA87	FR	27380
8	FREA88	FR	71850
8	FREA90	FR	13160
8	FREA94	FR	63000
8	FREA99	FR	14470
8	FREACD	FR	50330
8	FREACX	FR	38230
8	FREACY	FR	38230
8	FREAD1	FR	14320
8	FREAD8	FR	40500
8	FREAD9	FR	13340
8	FREADB	FR	06250
8	FREADE	FR	60420
8	FREADI	FR	77100
8	FREADN	FR	44450
8	FREADQ	FR	87300
8	FREADR	FR	18700
8	FREAEA	FR	62340
8	FREAEI	FR	40200
8	FREAEQ	FR	20110
8	FREAEU	FR	03400
8	FREAEV	FR	34420
8	FREAFS	FR	72200
8	FREAFT	FR	30250
8	FREAFW	FR	69100
8	FREAG1	FR	61700
8	FREAG2	FR	95420
8	FREAGA	FR	18000
8	FREAGC	FR	83000
8	FREAGD	FR	31700
8	FREAGF	FR	61000
8	FREAGG	FR	61000
8	FREAGH	FR	91800
8	FREAGT	FR	10400
8	FREAGW	FR	35310
8	FREAH3	FR	75012
8	FREAH5	FR	73170
8	FREAH7	FR	73110
8	FREAH8	FR	69480
8	FREAHA	FR	51100
8	FREAHG	FR	62180
8	FREAHP	FR	35300
8	FREAHS	FR	85100
8	FREAHT	FR	32600
8	FREAHY	FR	33250
8	FREAHZ	FR	37190
8	FREAI3	FR	18390
8	FREAI5	FR	35890
8	FREAI7	FR	56130
8	FREAIB	FR	56390
8	FREAIJ	FR	04700
8	FREAIP	FR	02200
8	FREAIR	FR	67630
8	FREAIS	FR	50570
